Wed Jun 14 19:29:07 2023
     Time    Values
 6.515625  0.230352
 6.578125  0.290682
 6.640625  0.349877
 6.687500  0.393389
 6.750000  0.450044
 6.796875  0.491394
 6.859375  0.544833
 6.921875  0.596144
 6.968750  0.633110
 7.109375  0.735355
 7.187500  0.786002
 7.250000  0.823081
 7.312500  0.856946
 7.375000  0.887465
 7.421875  0.908086
 7.468750  0.926711
 7.515625  0.943301
 7.562500  0.957819
 7.609375  0.970233
 7.671875  0.983464
 7.718750  0.990870
 7.765625  0.996099
 7.812500  0.999140
 7.890625  0.999329
 7.937500  0.996514
 7.984375  0.991511
 8.046875  0.981454
 8.109375  0.967564
 8.156250  0.954664
 8.203125  0.939666
 8.250000  0.922604
 8.296875  0.903515
 8.359375  0.874984
 8.406250  0.851337
 8.453125  0.825819
 8.500000  0.798487
 8.546875  0.769401
 8.593750  0.738625
 8.640625  0.706226
 8.687500  0.672275
 8.734375  0.636848
 8.781250  0.600021
 8.828125  0.561877
 8.875000  0.522498
 8.921875  0.481971
 8.968750  0.440385
 9.015625  0.397832
 9.062500  0.354405
 9.109375  0.310200
 9.156250  0.265312
 9.203125  0.219842
 9.250000  0.173889
 9.296875  0.127555
 9.359375  0.065356
 9.421875  0.002903
 9.484375 -0.059562
 9.546875 -0.121794
 9.609375 -0.183550
 9.671875 -0.244590
 9.734375 -0.304675
 9.796875 -0.363570
 9.859375 -0.421045
 9.906250 -0.463084
 9.953125 -0.504106
10.000000 -0.544021
10.046875 -0.582741
