Sat Jul  1 12:56:27 2023
     Time    Values
 9.272872  0.203447
 9.333834  0.045329
 9.398793  0.030178
 9.462753 -0.079897
 9.523715 -0.106372
 9.581680 -0.134351
 9.640642 -0.238612
 9.705599 -0.278550
 9.762564 -0.377893
 9.820530 -0.430169
 9.884490 -0.480314
 9.940458 -0.504622
10.001419 -0.575953
10.060381 -0.548697
10.117346 -0.602565
10.177309 -0.674700
10.235272 -0.727498
10.296236 -0.777995
10.358197 -0.770648
10.417161 -0.855205
10.476123 -0.858921
10.538084 -0.854127
10.597048 -0.906061
10.660008 -0.923810
10.716974 -0.951411
10.776936 -0.988739
10.835899 -0.988821
10.893865 -0.989673
10.951826 -0.997879
11.009789 -0.997254
11.068753 -0.998839
11.126718 -0.994060
11.183683 -0.984976
11.243646 -0.976798
11.301610 -0.956615
11.360574 -0.939056
11.418538 -0.924385
11.475502 -0.912680
11.534465 -0.841444
11.605422 -0.801789
11.668384 -0.827205
11.728346 -0.770440
11.786310 -0.727329
11.843273 -0.646217
11.902238 -0.649745
11.958203 -0.584631
12.016168 -0.501304
12.073133 -0.524086
12.129097 -0.408255
12.186060 -0.371814
12.243025 -0.322690
12.301296 -0.266826
12.360253 -0.165480
12.419220 -0.160587
12.477184 -0.135991
12.551136  0.039435
12.616099  0.101568
12.675060  0.046501
12.732026  0.123470
12.796985  0.244328
12.855948  0.318342
12.914912  0.360267
12.972876  0.447296
13.029841  0.439871
13.090803  0.548690
13.147767  0.579351
13.205731  0.577184
13.262696  0.580727
13.320658  0.577874
13.382618  0.736478
13.444583  0.778098
13.503545  0.809386
13.563510  0.856094
13.628469  0.901312
13.684434  0.879393
13.746394  0.920759
13.804360  0.919869
13.861324  0.962301
13.919289  0.977789
13.976253  0.980390
14.036215  0.997326
14.094178  0.998958
14.151143  0.999478
14.218102  0.995906
14.278064  0.982136
14.341027  0.974484
14.399989  0.968686
14.456954  0.977621
14.514918  0.965331
14.574881  0.935317
14.633844  0.880855
14.700804  0.838353
14.762765  0.773134
14.826725  0.764565
14.883689  0.771676
14.943652  0.638479
15.001616  0.610775
15.058580  0.527141
15.118543  0.563198
15.174506  0.594987
15.232470  0.346337
15.288476  0.373909
15.352437  0.354571
15.410398  0.326658
15.472359  0.220846
15.528327  0.143976
15.594283  0.149012
15.652248  0.029851
15.708212 -0.033652
15.772173 -0.112294
15.829138 -0.111301
15.888102 -0.112774
15.946067 -0.163938
16.005031 -0.231805
16.062995 -0.418087
16.118957 -0.364032
16.176922 -0.479882
16.233887 -0.507734
16.293851 -0.562875
16.349816 -0.627854
16.408778 -0.706793
16.467741 -0.683695
16.523706 -0.701227
16.586670 -0.760932
16.650629 -0.813887
16.712592 -0.829865
16.773554 -0.890864
16.831519 -0.877320
16.894478 -0.953463
16.952442 -0.975647
17.010406 -0.927777
17.070369 -0.985449
17.128335 -0.986469
17.187297 -0.995941
17.243263 -0.999976
17.307222 -0.999120
17.367185 -0.989971
17.427148 -0.991266
17.484113 -0.989603
17.546072 -0.976703
17.608036 -0.929441
17.671995 -0.921391
17.731959 -0.935095
17.789921 -0.839400
17.851883 -0.831919
17.911846 -0.743255
17.968810 -0.770544
18.030772 -0.739979
18.088737 -0.694906
18.146698 -0.648136
18.205662 -0.645816
18.262626 -0.595550
18.321590 -0.406280
18.380553 -0.439471
18.441515 -0.340708
18.499479 -0.374782
18.557447 -0.255949
18.621403 -0.197212
18.678368 -0.302243
18.738333 -0.010832
18.795299 -0.071534
18.858256  0.009848
18.917223  0.088850
18.976186  0.135908
19.034147  0.150696
19.091113  0.164800
19.150076  0.311831
19.210039  0.353143
19.269001  0.432243
19.331962  0.561303
19.393924  0.518313
19.452889  0.604305
19.511853  0.601504
19.577814  0.673863
19.647768  0.727561
19.708732  0.720154
19.772688  0.752300
19.832653  0.871306
19.894613  0.865062
19.954578  0.878881
20.013541  0.895682
